sample,run,plate,type,gel_band,concentration,reads_total,conv_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation,GCNreads,mbNT_GCN
F335,Run 2,6,FERA,Yes,3.86,44228,P,2,40.1,No,No,0,N
F336,Run 2,6,FERA,Yes,15.7,48590,N,11,39.3,No,No,190,P
F337,Run 2,6,FERA,Yes,0.74,26813,P,12,36.6,No,No,3164,P
F338,Run 2,6,FERA,Yes,2.62,42598,N,1,40,No,No,0,N
F339,Run 2,6,FERA,No,0,38,N,3,41.4,No,No,5,P
F33,Run 1,1,FERA,Yes,2.7,51834,N,1,39.5,No,No,0,N
F340,Run 2,6,FERA,Yes,1.45,31624,N,2,40.6,No,No,0,N
F341,Run 2,6,FERA,Yes,9.18,40359,N,12,38,No,No,2457,P
F342,Run 2,6,FERA,Yes,12.6,42776,P,12,35.3,No,No,12966,P
F343,Run 2,6,FERA,Yes,9.8,40301,N,5,40.5,No,No,0,N
F344,Run 2,6,FERA,Yes,5.49,35722,P,12,36.6,No,No,8343,P
F345,Run 2,6,FERA,Yes,7.3,39095,N,6,40.3,No,No,0,N
F346,Run 2,6,FERA,Yes,15.5,43347,N,1,41,No,No,3075,P
F347,Run 2,6,FERA,Yes,4.34,36104,P,12,35.7,No,No,5515,P
F348,Run 2,6,FERA,Yes,3.43,38465,N,12,37.7,No,No,1888,P
F349,Run 2,6,FERA,Yes,12.6,52055,N,12,32.3,No,No,28195,P
F34,Run 1,1,FERA,Yes,12.3,52376,N,12,35.6,No,No,10545,P
F350,Run 2,6,FERA,Yes,6.22,48036,P,12,35.6,No,No,3870,P
F351,Run 2,6,FERA,Yes,2.57,39901,P,2,40.6,No,No,0,N
F352,Run 2,6,FERA,Yes,14.8,48359,N,7,40.6,No,No,8,P
F353,Run 2,6,FERA,Yes,3.92,38613,N,8,39.5,No,No,4238,P
F354,Run 2,6,FERA,Yes,2.84,40211,N,6,40,No,No,666,P
F355,Run 2,6,FERA,Yes,3.41,41365,P,1,40.8,No,No,0,N
F356,Run 2,6,FERA,Yes,2.46,43213,N,9,38.9,No,No,5427,P
F357,Run 2,6,FERA,Yes,2.01,39906,N,1,40.9,No,No,0,N
F358,Run 2,6,FERA,No,0,9,N,8,41.2,No,No,0,N
F359,Run 2,6,FERA,No,0,68,N,12,38.9,No,No,0,N
F35,Run 1,1,FERA,Yes,1.63,130187,N,9,39.4,No,No,6607,P
F360,Run 2,6,FERA,Yes,3.27,16251,N,5,40.4,No,No,585,P
F361,Run 2,6,FERA,Yes,0.56,15601,N,3,40.7,No,No,0,N
F362,Run 2,6,FERA,Yes,5.34,46391,N,5,40.5,No,No,385,P
F363,Run 2,6,FERA,Yes,0.28,8675,N,6,40.7,No,No,5,P
F364,Run 2,6,FERA,Yes,1.96,41592,N,1,52,No,No,0,N
F365,Run 2,6,FERA,Yes,10,48324,N,1,39.8,No,No,0,N
F366,Run 2,6,FERA,Yes,30.1,66999,P,12,28,No,No,65325,P
F367,Run 2,6,FERA,Yes,19.5,52705,N,12,34.5,No,No,19787,P
F368,Run 2,6,FERA,Yes,26.9,68967,N,12,37.2,No,No,588,P
F369,Run 2,6,FERA,Yes,0.8,18288,N,2,39.2,No,No,0,N
F36,Run 1,1,FERA,Yes,2.45,45932,N,4,41.1,No,No,5,P
F370,Run 2,6,FERA,Yes,15.3,39143,N,1,41.7,No,No,56,P
F371,Run 2,6,FERA,Yes,0.47,10335,N,12,39.7,No,No,82,P
F372,Run 2,6,FERA,Yes,5.96,40207,N,12,38.7,No,No,1849,P
F373,Run 2,6,FERA,Yes,4.53,38139,N,12,39.4,No,No,867,P
F374,Run 2,6,FERA,Yes,3.06,29797,N,5,40.2,No,No,4334,P
F375,Run 2,6,FERA,Yes,0.84,13006,P,3,39.8,No,No,2790,P
F376,Run 2,6,FERA,No,0,5,N,12,40.1,No,No,0,N
F377,Run 2,6,FERA,Yes,21.2,58519,P,12,38.4,No,No,14,P
F378,Run 2,6,FERA,Yes,4.5,37906,N,8,41.9,No,No,2524,P
F379,Run 2,6,FERA,Yes,15.3,46620,N,9,38.4,No,No,184,P
F37,Run 1,1,FERA,Yes,13.4,47623,N,12,36.8,No,No,4593,P
F380,Run 2,6,FERA,Yes,2.18,38658,N,5,41,No,No,782,P
F381,Run 2,6,FERA,Yes,2.42,35805,N,1,43.5,No,No,0,N
F382,Run 2,6,FERA,No,0,0,N,12,36.4,No,No,0,N
F383,Run 2,7,FERA,Yes,0,842,N,0,0,No,No,0,N
F384,Run 2,7,FERA,Yes,8.1,44713,N,0,0,No,No,0,N
F385,Run 2,7,FERA,Yes,3.57,9088,N,0,0,No,No,0,N
F386,Run 2,7,FERA,No,0,12,N,0,0,No,No,0,N
F387,Run 2,7,FERA,Yes,0.37,2394,N,0,0,No,No,0,N
F388,Run 2,7,FERA,Yes,0.42,8658,NA,0,0,No,No,0,N
F389,Run 2,7,FERA,Yes,0.65,4235,N,0,0,No,No,0,N
F38,Run 1,1,FERA,Yes,6.22,54348,N,9,41.1,No,No,0,N
F390,Run 2,7,FERA,Yes,0,6718,N,0,0,No,No,0,N
F391,Run 2,7,FERA,Yes,1.64,9505,N,0,0,No,No,0,N
F392,Run 2,7,FERA,Yes,11,46148,N,0,0,No,No,0,N
F393,Run 2,7,FERA,Yes,1.2,5188,N,0,0,No,No,0,N
F394,Run 2,7,FERA,Yes,5.16,48691,N,0,0,No,No,0,N
F395,Run 2,7,FERA,No,0,176,N,0,0,No,No,0,N
F396,Run 2,7,FERA,Yes,1.73,28945,N,0,0,No,No,0,N
F397,Run 2,7,FERA,Yes,7,33678,N,0,0,No,No,0,N
F398,Run 2,7,FERA,Yes,25.2,58839,N,0,0,No,No,0,N
F399,Run 2,7,FERA,No,0.26,33,N,0,0,No,No,0,N
F39,Run 1,1,FERA,Yes,20,68181,N,2,39.6,No,No,0,N
F3,Run 1,1,FERA,Yes,0.28,4236,N,1,39.8,No,No,0,N
F400,Run 2,7,FERA,Yes,10.4,45112,N,0,0,No,No,0,N
F401,Run 2,7,FERA,Yes,3.83,27045,N,0,0,No,No,0,N
F402,Run 2,7,FERA,Yes,11,46230,N,0,0,No,No,0,N
F403,Run 2,7,FERA,Yes,14.3,49060,N,0,0,No,No,0,N
F404,Run 2,7,FERA,Yes,16,46166,N,0,0,No,No,0,N
F405,Run 2,7,FERA,Yes,20.3,50768,N,0,0,No,No,0,N
F406,Run 2,7,FERA,Yes,17.5,102115,N,0,0,No,No,0,N
F407,Run 2,7,FERA,Yes,12.9,45472,N,0,0,No,No,0,N
F408,Run 2,7,FERA,Yes,30.4,56877,N,0,0,No,No,0,N
F409,Run 2,7,FERA,Yes,2.85,38753,N,0,0,No,No,0,N
F40,Run 1,1,FERA,Yes,12.2,64919,N,0,42.7,No,No,0,N
F410,Run 2,7,FERA,Yes,21.9,50584,N,0,0,No,No,0,N
F411,Run 2,7,FERA,Yes,15.3,51045,N,0,0,No,No,0,N
F412,Run 2,7,FERA,Yes,24,59606,N,0,0,No,No,0,N
F413,Run 2,7,FERA,Yes,1.56,13868,N,0,0,No,No,0,N
F414,Run 2,7,FERA,Yes,20.4,62611,N,0,0,No,No,0,N
F415,Run 2,7,FERA,Yes,21.6,55029,N,0,0,No,No,0,N
F416,Run 2,7,FERA,No,0,19,N,0,0,No,No,0,N
F417,Run 2,7,FERA,Yes,14.8,46173,N,0,0,No,No,0,N
F418,Run 2,7,FERA,Yes,1.59,48745,N,0,0,No,No,0,N
F419,Run 2,7,FERA,Yes,11.7,44480,N,0,0,No,No,0,N
F41,Run 1,1,FERA,Yes,4.45,64585,N,0,0,No,No,2254,P
F420,Run 2,7,FERA,No,7.44,75,N,0,0,No,No,0,N
F421,Run 2,7,FERA,Yes,1.34,8174,N,0,0,No,No,0,N
F422,Run 2,7,FERA,Yes,0.07,219351,N,0,0,No,No,0,N
F423,Run 2,7,FERA,Yes,0.15,430560,N,0,0,No,No,7,P
F424,Run 2,7,FERA,Yes,0.12,333992,N,0,0,No,No,0,N
F425,Run 2,7,FERA,Yes,1.3,34235,N,0,0,No,No,0,N
F426,Run 2,7,FERA,Yes,3.81,43050,N,0,0,No,No,0,N
F427,Run 2,7,FERA,Yes,10.5,37254,N,0,0,No,No,0,N
F428,Run 2,7,FERA,Yes,1.72,40895,N,0,0,No,No,0,N
F429,Run 2,7,FERA,Yes,3.03,46003,P,0,0,No,No,0,N
F42,Run 1,1,FERA,Yes,11.4,64400,N,0,0,No,No,0,N
F430,Run 2,7,FERA,No,0,94,N,0,0,No,No,0,N
F431,Run 2,7,FERA,Yes,4.77,43595,N,0,0,No,No,0,N
F432,Run 2,7,FERA,Yes,0.14,4207,N,0,0,No,No,0,N
F433,Run 2,7,FERA,Yes,2.4,39666,N,0,0,No,No,0,N
F434,Run 2,7,FERA,Yes,0.18,4532,N,0,0,No,No,0,N
F435,Run 2,7,FERA,Yes,0.87,20026,N,0,0,No,No,0,N
F436,Run 2,7,FERA,Yes,14.6,57561,N,0,0,No,No,0,N
F437,Run 2,7,FERA,Yes,10.7,47020,N,0,0,No,No,40,P
F438,Run 2,7,FERA,No,0,71,N,0,0,No,No,0,N
F439,Run 2,7,FERA,Yes,2.23,45103,N,0,0,No,No,0,N
F43,Run 1,1,FERA,Yes,7.34,63607,N,0,0,No,No,10,P
F440,Run 2,7,FERA,Yes,7.65,47308,N,0,0,No,No,0,N
F441,Run 2,7,FERA,Yes,13.7,49261,N,0,0,No,No,0,N
F442,Run 2,7,FERA,Yes,6.98,49718,N,0,0,No,No,0,N
F443,Run 2,7,FERA,Yes,6.41,52496,N,0,0,No,No,0,N
F444,Run 2,7,FERA,No,0,82,N,0,0,No,No,0,N
F445,Run 2,7,FERA,Yes,6.26,42966,N,0,0,No,No,0,N
F446,Run 2,8,FERA,No,0,5,N,0,0,No,No,0,N
F447,Run 2,8,FERA,Yes,2.91,39596,N,0,0,No,No,0,N
F448,Run 2,8,FERA,No,0,5,N,0,0,No,No,0,N
F449,Run 2,8,FERA,Yes,0.68,19749,N,0,0,No,No,0,N
F44,Run 1,1,FERA,Yes,2.33,48018,N,0,0,No,Yes,0,N
F450,Run 2,8,FERA,Yes,0,0,N,0,0,No,No,0,N
F451,Run 2,8,FERA,Yes,6.79,42355,N,0,0,No,No,0,N
F452,Run 2,8,FERA,Yes,0,1797,NA,0,0,No,No,0,N
F453,Run 2,8,FERA,Yes,4.32,45549,N,0,0,No,No,0,N
F454,Run 2,8,FERA,No,0,5,N,0,0,No,No,0,N
F455,Run 2,8,FERA,Yes,3.83,46269,N,0,0,No,No,0,N
F456,Run 2,8,FERA,No,0,12,N,0,0,No,No,0,N
F457,Run 2,8,FERA,Yes,5.58,47051,N,0,0,No,No,0,N
F458,Run 2,8,FERA,Yes,4.43,55622,N,0,0,No,No,0,N
F459,Run 2,8,FERA,Yes,3.65,48136,N,0,0,No,No,0,N
F45,Run 1,1,FERA,Yes,2.06,41434,P,0,0,No,No,0,N
F460,Run 2,8,FERA,Yes,19.5,60295,N,0,0,No,No,0,N
F461,Run 2,8,FERA,Yes,18.8,51861,N,0,0,No,No,0,N
F462,Run 2,8,FERA,Yes,12.6,52094,N,0,0,No,No,0,N
F463,Run 2,8,FERA,Yes,2.44,41202,N,0,0,No,No,0,N
F464,Run 2,8,FERA,Yes,3.86,55968,N,0,0,No,No,0,N
F465,Run 2,8,FERA,Yes,0,10090,P,0,0,No,Yes,0,N
F466,Run 2,8,FERA,Yes,0.71,22744,N,0,0,No,No,0,N
F467,Run 2,8,FERA,Yes,4.77,41209,N,0,0,No,No,0,N
F468,Run 2,8,FERA,Yes,20.9,53416,N,0,0,No,No,0,N
F469,Run 2,8,FERA,Yes,16.4,49153,N,0,0,No,No,0,N
F46,Run 1,1,FERA,Yes,1.52,39096,N,0,0,No,No,0,N
F470,Run 2,8,FERA,Yes,23.1,52863,N,0,0,No,No,0,N
F471,Run 2,8,FERA,No,0,16,P,0,0,No,No,0,N
F472,Run 2,8,FERA,Yes,8.34,45077,N,0,0,No,No,0,N
F473,Run 2,8,FERA,Yes,2.86,14177,N,0,0,No,No,0,N
F474,Run 2,8,FERA,No,0,19,N,0,0,No,No,0,N
F475,Run 2,8,FERA,Yes,8.71,39626,N,0,0,No,No,0,N
F476,Run 2,8,FERA,Yes,9.15,48041,N,0,0,No,No,0,N
F477,Run 2,8,FERA,Yes,0,0,N,0,0,No,No,0,N
F478,Run 2,8,FERA,Yes,0.85,28357,N,0,0,No,No,0,N
F479,Run 2,8,FERA,Yes,1.26,82828,N,0,0,No,No,0,N
F47,Run 1,2,FERA,Yes,17.54,5947,N,0,0,No,No,0,N
F480,Run 2,8,FERA,Yes,6.47,42187,N,0,0,No,No,0,N
F481,Run 2,8,FERA,Yes,1.53,37063,N,0,0,No,No,2639,P
F482,Run 2,8,FERA,Yes,8.16,33225,N,0,0,No,No,0,N
F483,Run 2,8,FERA,Yes,0.13,331945,N,0,0,No,No,0,N
F484,Run 2,8,FERA,Yes,0.02,41458,N,0,0,No,Yes,0,N
F485,Run 2,8,FERA,Yes,0.04,103300,N,0,0,No,No,0,N
F486,Run 2,8,FERA,Yes,0.05,127889,N,0,0,No,Yes,0,N
F487,Run 2,8,FERA,Yes,0.03,70738,N,0,0,No,No,0,N
F488,Run 2,8,FERA,Yes,6.82,34151,N,0,0,No,No,0,N
F489,Run 2,8,FERA,Yes,1.01,23219,N,0,0,No,No,0,N
F48,Run 1,2,FERA,Yes,4.32,4087,N,0,0,No,No,0,N
F490,Run 2,8,FERA,Yes,8.47,38998,N,0,0,No,No,0,N
F491,Run 2,8,FERA,Yes,1.61,34503,N,0,0,No,Yes,0,N
F492,Run 2,8,FERA,Yes,0.42,7969,N,0,0,No,Yes,0,N
F493,Run 2,8,FERA,Yes,1.96,35376,N,0,0,No,No,0,N
F494,Run 2,8,FERA,Yes,9.31,41731,N,0,0,No,No,0,N
F495,Run 2,8,FERA,Yes,10.3,40877,N,0,0,No,No,0,N
F496,Run 2,8,FERA,Yes,11.4,37694,N,0,0,No,No,0,N
F497,Run 2,8,FERA,Yes,2.87,34823,N,0,0,No,No,0,N
F498,Run 2,8,FERA,Yes,5.7,32001,N,0,0,No,No,0,N
F499,Run 2,8,FERA,Yes,3.86,41940,N,0,0,No,No,0,N
F49,Run 1,2,FERA,Yes,1.78,1954,N,0,0,No,No,0,N
F4,Run 1,1,FERA,Yes,2.66,42771,N,5,42.7,No,No,0,N
F500,Run 2,8,FERA,Yes,6.37,42255,N,0,0,No,No,0,N
F501,Run 2,8,FERA,Yes,4.82,41788,N,0,0,No,No,0,N
F502,Run 2,8,FERA,Yes,19.3,51394,N,0,0,No,No,0,N
F503,Run 2,8,FERA,Yes,0.14,4529,N,0,0,No,No,0,N
F504,Run 2,8,FERA,Yes,3.5,36874,N,0,0,No,No,0,N
F505,Run 2,8,FERA,Yes,8.73,37599,N,0,0,No,No,0,N
F506,Run 2,8,FERA,Yes,4.47,44972,N,0,0,No,No,0,N
F507,Run 2,8,FERA,No,0,8,N,0,0,No,No,0,N
F508,Run 2,8,FERA,Yes,11.6,47046,N,0,0,No,No,0,N
F50,Run 1,2,FERA,Yes,2.93,4008,N,0,0,No,No,7,P
F51,Run 1,2,FERA,Yes,3.84,3589,N,0,0,No,No,0,N
F52,Run 1,2,FERA,Yes,3.44,2610,N,0,0,No,No,0,N
F53,Run 1,2,FERA,Yes,7.89,4888,N,0,0,No,No,0,N
F54,Run 1,2,FERA,Yes,1.15,4150,N,0,0,No,No,0,N
F55,Run 1,2,FERA,No,1,61,N,0,0,No,No,0,N
F56,Run 1,2,FERA,Yes,10.72,6131,N,0,0,No,No,0,N
F57,Run 1,2,FERA,Yes,9.6,4733,N,0,0,No,No,7,P
F58,Run 1,2,FERA,Yes,17.36,5258,N,0,0,No,No,0,N
F59,Run 1,2,FERA,Yes,8.48,4648,N,0,0,No,No,0,N
F5,Run 1,1,FERA,Yes,3.8,41493,N,1,40.3,No,No,0,N
F60,Run 1,2,FERA,Yes,6.01,3685,N,0,0,No,No,0,N
F61,Run 1,2,FERA,Yes,121,2400,N,0,0,No,No,0,N
F62,Run 1,2,FERA,Yes,61.48,4991,N,0,0,No,No,0,N
F63,Run 1,2,FERA,Yes,67.43,3881,N,0,0,No,No,0,N
F64,Run 1,2,FERA,Yes,17.13,4649,N,0,0,No,No,0,N
F65,Run 1,2,FERA,Yes,18.97,4521,N,0,0,No,No,0,N
F66,Run 1,2,FERA,Yes,125,1751,N,0,0,No,No,0,N
F67,Run 1,2,FERA,Yes,39.51,5215,N,0,0,No,No,0,N
F68,Run 1,2,FERA,Yes,16.23,5204,N,0,0,No,No,0,N
F69,Run 1,2,FERA,Yes,34.27,6191,P,0,0,No,No,0,N
F6,Run 1,1,FERA,Yes,1.13,9025,N,3,40.3,No,No,0,N
F70,Run 1,2,FERA,Yes,42.67,11514,N,0,0,No,No,0,N
F71,Run 1,2,FERA,Yes,8.66,1515,P,0,0,No,No,0,N
F72,Run 1,2,FERA,Yes,27.67,5506,N,0,0,No,No,0,N
F73,Run 1,2,FERA,No,0.76,7,N,0,0,No,No,0,N
F74,Run 1,2,FERA,Yes,2.29,2173,N,0,0,No,No,0,N
F75,Run 1,2,FERA,Yes,0.8,17511,N,0,0,No,No,0,N
F76,Run 1,2,FERA,Yes,0.32,5440,N,0,0,No,No,0,N
F77,Run 1,2,FERA,Yes,0.64,13372,N,0,0,No,No,0,N
F78,Run 1,2,FERA,Yes,1.97,37637,N,0,0,No,No,0,N
F79,Run 1,2,FERA,Yes,1.53,35302,N,0,0,No,No,0,N
F7,Run 1,1,FERA,Yes,0.6,11177,N,12,35.4,No,No,4107,P
F80,Run 1,2,FERA,Yes,1.35,27719,N,0,0,No,No,0,N
F81,Run 1,2,FERA,Yes,0.74,12573,N,0,0,No,No,0,N
F82,Run 1,2,FERA,Yes,0.47,11026,N,0,0,No,No,0,N
F83,Run 1,2,FERA,Yes,2.08,39889,N,0,0,No,No,0,N
F84,Run 1,2,FERA,Yes,0.13,50,N,0,0,No,No,0,N
F85,Run 1,2,FERA,Yes,0.82,19788,N,0,0,No,No,0,N
F86,Run 1,2,FERA,Yes,0.63,14374,N,0,0,No,No,0,N
F87,Run 1,2,FERA,Yes,0.59,9690,N,0,0,No,No,0,N
F88,Run 1,2,FERA,Yes,0.85,20120,N,0,0,No,No,0,N
F89,Run 1,2,FERA,Yes,0.67,15139,N,0,0,No,No,0,N
F8,Run 1,1,FERA,Yes,8.98,51201,N,6,37.3,No,No,2710,P
F90,Run 1,2,FERA,Yes,0.41,9165,N,0,0,No,No,0,N
F91,Run 1,2,FERA,Yes,10.2,49606,N,0,0,No,No,0,N
F92,Run 1,2,FERA,Yes,1.12,23705,N,0,0,No,No,0,N
F93,Run 1,2,FERA,No,0.16,70,N,0,0,No,No,0,N
F94,Run 1,2,FERA,Yes,8.08,21487,N,0,0,No,Yes,0,N
F95,Run 1,2,FERA,Yes,17.1,67490,N,0,0,No,No,0,N
F96,Run 1,2,FERA,Yes,28.2,70880,N,0,0,No,No,0,N
F97,Run 1,2,FERA,Yes,13.6,52556,N,0,0,No,No,0,N
F98,Run 1,2,FERA,Yes,22.5,56018,N,0,0,No,No,0,N
F99,Run 1,2,FERA,Yes,14.2,54675,N,9,40.4,No,No,7,P
F9,Run 1,1,FERA,Yes,34.5,71276,N,7,37.1,No,No,117,P
NU10,Run 1,1,Nottingham,Yes,8.78,73777,NA,12,NA,No,No,2980,P
NU11,Run 1,1,Nottingham,Yes,1.21,53839,NA,1,NA,No,No,9,P
NU12,Run 1,1,Nottingham,Yes,1.42,54980,NA,5,NA,No,No,6,P
NU13,Run 1,1,Nottingham,Yes,24.3,75967,NA,0,NA,No,No,1173,P
NU14,Run 1,1,Nottingham,Yes,1.69,46644,NA,0,NA,No,No,1955,P
NU15,Run 1,1,Nottingham,Yes,4.54,67684,NA,0,NA,No,No,1801,P
NU16,Run 1,1,Nottingham,Yes,19.5,73004,NA,0,NA,No,No,0,N
NU17,Run 1,1,Nottingham,Yes,1.96,43834,NA,0,NA,No,No,0,N
NU18,Run 1,1,Nottingham,Yes,1.54,34331,NA,0,NA,No,No,0,N
NU19,Run 1,1,Nottingham,Yes,2.62,52923,NA,0,NA,No,No,0,N
NU1,Run 1,1,Nottingham,Yes,3.64,51152,NA,1,NA,No,No,0,N
NU20,Run 1,1,Nottingham,No,0.18,32,NA,0,NA,No,No,0,N
NU21,Run 1,1,Nottingham,Yes,0.84,12911,NA,0,NA,No,No,0,N
NU22,Run 1,1,Nottingham,Yes,7.16,74301,NA,0,NA,No,No,0,N
NU23,Run 1,1,Nottingham,Yes,7.56,49676,NA,0,NA,No,No,0,N
NU24,Run 1,1,Nottingham,Yes,33,101910,NA,0,NA,No,No,0,N
NU2,Run 1,1,Nottingham,Yes,13.3,70427,NA,12,NA,No,No,12355,P
NU3,Run 1,1,Nottingham,Yes,9.58,75580,NA,5,NA,No,No,3627,P
NU4,Run 1,1,Nottingham,Yes,5.51,71407,NA,6,NA,No,No,16,P
NU5,Run 1,1,Nottingham,Yes,17,68137,NA,1,NA,No,No,7,P
NU6,Run 1,1,Nottingham,Yes,6.09,53982,NA,12,NA,No,No,2398,P
NU7,Run 1,1,Nottingham,Yes,5.1,56846,NA,12,NA,No,No,4434,P
NU8,Run 1,1,Nottingham,No,0,158,NA,7,NA,No,No,0,N
NU9,Run 1,1,Nottingham,Yes,18.4,90829,NA,1,NA,No,No,0,N
